Q96Q42 ALS2
P35858 IGFALS
Q15699 ALX1
O95076 ALX3
Q9H161 ALX4
Q9UHK6 AMACR
Q9NP70 AMBN
P02760 AMBP
P19021 PAM
Q99217 AMELX
Q99218 AMELY
Q5JTC6 AMER1
Q8N7J2 AMER2
Q8N944 AMER3
Q6DCA0 AMMECR1L
Q9UKV5 AMFR
Q86WK6 AMIGO1
Q86SJ2 AMIGO2
Q86WK7 AMIGO3
Q16671 AMHR2
Q9Y4X0 AMMECR1
Q8IY45 AMN1
Q9BXJ7 AMN
Q8IY63 AMOTL1
Q9Y2J4 AMOTL2
Q4VCS5 AMOT
Q9H4A4 RNPEP
P23109 AMPD1
Q01433 AMPD2
Q01432 AMPD3
Q07075 ENPEP
P49418 AMPH
P28838 LAP3
P15144 ANPEP
Q8N6M6 AOPEP
Q6Q4G3 LVRN
Q9C0C7 AMBRA1
P30533 LRPAP1
Q6UX39 AMTN
P04745 AMY1A
P04745 AMY1B
P04745 AMY1C
P19961 AMY2B
P04746 AMY2A
Q400G9 AMZ1
Q86W34 AMZ2
Q8IZ07 ANKRD13A
Q86YJ7 ANKRD13B
Q8N6S4 ANKRD13C
Q6ZTN6 ANKRD13D
Q8IVF6 ANKRD18A
A2A2Z9 ANKRD18B
Q5CZ79 ANKRD20A8P
Q9BXX3 ANKRD30A
Q9BXX2 ANKRD30B
P39687 ANP32A
Q92688 ANP32B
O43423 ANP32C
O95626 ANP32D
Q9BTT0 ANP32E
A6NCL7 ANKRD33B
Q69YU3 ANKRD34A
A5PLL1 ANKRD34B
P0C6C1 ANKRD34C
A6QL64 ANKRD36
Q8N2N9 ANKRD36B
Q5JPF3 ANKRD36C
P54802 NAGLU
Q9UJX6 ANAPC2
Q96K21 ZFYVE19
P10275 AR
P16860 NPPB
P23582 NPPC
Q9P2R3 ANKFY1
P01160 NPPA
Q9UNK9 ANGEL1
Q5VTE6 ANGEL2
P03950 ANG
O95841 ANGPTL1
Q9UKU9 ANGPTL2
Q9Y5C1 ANGPTL3
Q9BY76 ANGPTL4
