Entry	Gene names
P43681	CHRNA4 NACRA4
Q9UGM1	CHRNA9 NACHRA9
Q05901	CHRNB3
Q16570	ACKR1 DARC FY GPD
O00590	ACKR2 CCBP2 CCR10 CMKBR9 D6
P11229	CHRM1
P08172	CHRM2
P08912	CHRM5
P31946	YWHAB
Q00005	PPP2R2B
Q9Y2T4	PPP2R2C
Q30134	HLA-DRB1
P28566	HTR1E
Q8WXA8	HTR3C
A5X5Y0	HTR3E
Q9H0P0	NT5C3A NT5C3 P5N1 UMPH1 HSPC233
P19652	ORM2 AGP2
Q5SQ80	ANKRD20A2
Q96GX2	ATXN7L3B
P0DMS8	ADORA3
Q8N5Z0	AADAT KAT2
Q13131	PRKAA1 AMPK1
P54646	PRKAA2 AMPK AMPK2
Q9UH17	APOBEC3B
Q8N139	ABCA6
Q4W5N1	ABCA11P ABCA11
Q86UK0	ABCA12 ABC12
Q9NP58	ABCB6 MTABC3 PRP UMAT
Q09428	ABCC8 HRINS SUR SUR1
P28288	ABCD3 PMP70 PXMP1
Q8WW27	APOBEC4 C1orf169
Q6UXT9	ABHD15 UNQ6510/PRO21435
Q96SE0	ABHD1 LABH1
Q8N961	ABTB2
Q13085	ACACA ACAC ACC1 ACCA
Q9UKU7	ACAD8 ARC42 IBD
Q96GR2	ACSBG1 BGM KIAA0631 LPD
P62258	YWHAE
P61981	YWHAG
P27348	YWHAQ
Q4AC99	ACCSL
P18462	HLA-A HLAA
P16189	HLA-A HLAA
P30455	HLA-A HLAA
P30459	HLA-A HLAA
P30460	HLA-B HLAB
P30462	HLA-B HLAB
P30464	HLA-B HLAB
P30479	HLA-B HLAB
P30485	HLA-B HLAB
P30487	HLA-B HLAB
P30490	HLA-B HLAB
P30493	HLA-B HLAB CDABP0067
P18465	HLA-B HLAB
Q31610	HLA-B HLAB
P30154	PPP2R1B
P04229	HLA-DRB1
Q9TQE0	HLA-DRB1
P26439	HSD3B2 HSDB3B
Q13541	EIF4EBP1
Q9NRA8	EIF4ENIF1
P08195	SLC3A2 MDU1
P28222	HTR1B HTR1DB
P41595	HTR2B
Q5VUR7	ANKRD20A3
Q6PD74	AAGAB
Q9Y478	PRKAB1 AMPK
O43741	PRKAB2
Q9UGJ0	PRKAG2
Q7Z5M8	ABHD12B C14orf29
Q6PCB6	ABHD17C FAM108C1
Q9NRW3	APOBEC3C APOBEC1L PBI
Q9HC16	APOBEC3G MDS019
P78363	ABCA4 ABCR
Q8IZY2	ABCA7
Q8WWZ4	ABCA10
O75027	ABCB7 ABC7
Q9NP78	ABCB9 KIAA1520
O95342	ABCB11 BSEP
O60706	ABCC9 SUR2
Q9NSE7	ABCC13 C21orf73 PRED6
Q8TB40	ABHD4
Q9NUJ1	ABHD10
P00519	ABL1 ABL JTK7
Q9ULW3	ABT1
O00400	SLC33A1 ACATN AT1
P51825	AFF1 AF4 FEL MLLT2 PBM1
A6NIR3	AGAP5 CTGLF2
Q53H12	AGK MULK
O95394	PGM3 AGM1
Q86SQ6	ADGRA1 GPR123 KIAA1828
Q96PE1	ADGRA2 GPR124 KIAA1531 TEM5
Q8IWK6	ADGRA3 GPR125 UNQ556/PRO1113
O00468	AGRN AGRIN
P50052	AGTR2
Q8IVF2	AHNAK2 C14orf78 KIAA2019
Q09666	AHNAK PM227
O95433	AHSA1 C14orf3 HSPC322
O43918	AIRE APECED
Q9UKB5	AJAP1 MOT8 SHREW1
P42330	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS
Q9Y2D5	AKAP2 KIAA0920 PRKA2
Q5JQC9	AKAP4 AKAP82
Q99996	AKAP9 AKAP350 AKAP450 KIAA0803
Q9ULX6	AKAP8L NAKAP NAKAP95 HRIHFB2018
P31751	AKT2
P84996	GNAS GNAS1
Q6P6C2	ALKBH5 ABH5 OFOXD1
Q9UM73	ALK
Q5JTC6	AMER1 FAM123B WTX
Q6DCA0	AMMECR1L
Q9UKV5	AMFR RNF45
Q86SJ2	AMIGO2 ALI1
Q01433	AMPD2
Q6UX39	AMTN UNQ689/PRO1329
Q6ZTN6	ANKRD13D
Q9BXX3	ANKRD30A
P39687	ANP32A C15orf1 LANP MAPM PHAP1
Q9UJX6	ANAPC2 APC2 KIAA1406
P01160	NPPA ANP PND
Q6ZW76	ANKS3 KIAA1977
Q9NQW6	ANLN
Q96LA8	PRMT6 HRMT1L6
Q75V66	ANO5 GDD1 TMEM16E
Q7Z713	ANKRD37 LPR2BP
Q53RE8	ANKRD39 HSPC200
B4E2M5	ANKRD66
P20073	ANXA7 ANX7 SNX OK/SW-cl.95
O76027	ANXA9 ANX31
P27338	MAOB
P50583	NUDT2 APAH1
O00189	AP4M1 MUARP2
Q2VPB7	AP5B1 PP1030
O43299	AP5Z1 KIAA0415 SPG48
O95704	APBB3 FE65L2
Q9NYG5	ANAPC11 HSPC214
Q8NCL9	APCDD1L
Q8WW43	APH1B PSFL UNQ688/PRO1328
Q96LR9	APOLD1 VERGE
Q8IW19	APLF C2orf13 PALF XIP1
P51693	APLP1
Q96PS8	AQP10
P29972	AQP1 CHIP28
P55087	AQP4
P55064	AQP5
O94778	AQP8
Q6NSI1	ANKRD26P1
Q15041	ARL6IP1 ARL6IP ARMER KIAA0069
Q8N944	AMER3 FAM123C
Q9BXJ7	AMN UNQ513/PRO1028
Q9Y2J4	AMOTL2 KIAA0989
Q4VCS5	AMOT KIAA1071
P23109	AMPD1
A6NCL7	ANKRD33B
P0C6C1	ANKRD34C
Q9BY76	ANGPTL4 ARP4 HFARP PGAR PP1158 PSEC0166 UNQ171/PRO197
Q01484	ANK2
Q12955	ANK3
Q8NFD2	ANKK1 PKK2 SGK288
Q15327	ANKRD1 C193 CARP HA1A2
Q32M45	ANO4 TMEM16D
Q6IWH7	ANO7 NGEP PCANAP5 TMEM16G
Q6UB99	ANKRD11 ANCO1
O75179	ANKRD17 GTAR KIAA0697
Q6AI12	ANKRD40
Q8N9B4	ANKRD42
Q8N8A2	ANKRD44
Q8WVL7	ANKRD49 FGIF
Q8NB46	ANKRD52
Q3KP44	ANKRD55
Q9H9E1	ANKRA2 ANKRA
Q8N8V4	ANKS4B HARP
P58335	ANTXR2 CMG2
P04083	ANXA1 ANX1 LPC1
P12429	ANXA3 ANX3
O60641	SNAP91 KIAA0656
Q63HQ0	AP1AR C4orf16 PRO0971
P61966	AP1S1 AP19 CLAPS1
Q7Z6R9	TFAP2D TFAP2BL1
Q02410	APBA1 MINT1 X11
O00213	APBB1 FE65 RIR
P25054	APC DP2.5
Q9UBZ4	APEX2 APE2 APEXL2 XTH2
P02656	APOC3
Q8IXF9	AQP12A AQP12 AQPX2
Q13520	AQP6 AQP2L
O43315	AQP9 SSC1
Q66PJ3	ARL6IP4
Q8WWN8	ARAP3 CENTD3
Q8IWT0	ZBTB8OS ARCH
Q8N6H7	ARFGAP2 ZNF289 Nbla10535
Q9HCE6	ARHGEF10L GRINCHGEF KIAA1626
A6NJG6	ARGFX
Q12774	ARHGEF5 TIM
O94989	ARHGEF15 KIAA0915
Q6ZSZ5	ARHGEF18 KIAA0521
O95376	ARIH2 ARI2 TRIAD1 HT005
A6NKF2	ARID3C
P29374	ARID4A RBBP1 RBP1
Q969Q4	ARL11 ARLTS1
Q0P5N6	ARL16
Q8NEN0	ARMC2
Q6NXE6	ARMC6
P05062	ALDOB ALDB
Q2TAA5	ALG11 GT8
Q96F25	ALG14
Q92685	ALG3 NOT NOT56L
Q6ZNB7	AGMO TMEM195
Q8N6M5	ALLC
Q96L96	ALPK3 KIAA1330 MAK
P02760	AMBP HCP ITIL
P19021	PAM
Q99217	AMELX AMG AMGX
Q86WK6	AMIGO1 ALI2 AMIGO KIAA1163
Q86WK7	AMIGO3 ALI3 KIAA1851 UNQ6084/PRO20089
Q07075	ENPEP
P15144	ANPEP APN CD13 PEPN
P04746	AMY2A
Q400G9	AMZ1 KIAA1950
A2A2Z9	ANKRD18B
Q92688	ANP32B APRIL PHAPI2
Q69YU3	ANKRD34A ANKRD34
Q8N2N9	ANKRD36B
Q96K21	ZFYVE19 ANCHR MPFYVE
P16860	NPPB
Q9UKU9	ANGPTL2 ARP2 UNQ170/PRO196
Q9Y5C1	ANGPTL3 ANGPT5 UNQ153/PRO179
Q9Y2G4	ANKRD6 KIAA0957
A6NFN9	ANKUB1 C3orf16
O60678	PRMT3 HRMT1L3
Q6P2P2	PRMT9 PRMT10
Q9NW15	ANO10 TMEM16K
P16066	NPR1 ANPRA
Q9NXR5	ANKRD10
Q6UB98	ANKRD12 ANCO2 KIAA0874
Q86SG2	ANKRD23 DARP
Q8N6D5	ANKRD29
A6NC57	ANKRD62
Q9UJ72	ANXA10 ANX14
P07355	ANXA2 ANX2 ANX2L4 CAL1H LPC2D
P09525	ANXA4 ANX4
P08758	ANXA5 ANX5 ENX2 PP4
O43747	AP1G1 ADTG CLAPG1
Q9BXS5	AP1M1 CLTNM
P56377	AP1S2 DC22
Q6VUC0	TFAP2E
Q96N21	ENTHD2 C17orf56
Q9Y587	AP4S1
Q9UJX4	ANAPC5 APC5
Q9UJX3	ANAPC7 APC7
P35414	APLNR AGTRL1 APJ
P08519	LPA
P02654	APOC1
P02655	APOC2 APC2
Q9BPW4	APOL4
P07741	APRT
O14520	AQP7 AQP7L AQP9
Q8N6S5	ARL6IP6 PFAAP1
Q9NP61	ARFGAP3 ARFGAP1
P53365	ARFIP2 POR1
A8MVX0	ARHGEF33
P04745	AMY1A AMY1; AMY1B AMY1; AMY1C AMY1
Q86YJ7	ANKRD13B
O95626	ANP32D PP32R2
A5PLL1	ANKRD34B
A6QL64	ANKRD36 ANKRD36A KIAA1641 UNQ2430/PRO499
O95841	ANGPTL1 ANG3 ANGPT3 ARP1 PSEC0154 UNQ162/PRO188
O43827	ANGPTL7 CDT6 UNQ313/PRO356
E9PGG2	ANHX
P16157	ANK1 ANK
Q7Z5J8	ANKAR
Q8N957	ANKFN1
Q92527	ANKRD7
Q8IV38	ANKMY2
Q9HCE9	ANO8 KIAA1623 TMEM16H
Q5VYY1	ANKRD22
Q5TZF3	ANKRD45
Q9ULJ7	ANKRD50 KIAA1223
A6NGH8	ANKRD61
E5RJM6	ANKRD65
Q92625	ANKS1A ANKS1 KIAA0229 ODIN
Q7Z6G8	ANKS1B
P27216	ANXA13 ANX13
