Q9Y4L1	HYOU1
Q05084-2	ICA1
Q8NDH6	ICA1L
O75874	IDH1
P48735	IDH2
Q16666	IFI16
Q9NZI8	IGF2BP1
Q9Y6M1	IGF2BP2
O00425	IGF2BP3
P24593	IGFBP5
Q12905	ILF2
Q12906-7	ILF3
Q16891	IMMT
P12268	IMPDH2
Q16352	INA
Q9Y2H2	INPP5F
P01308	INS
Q9H0H0	INTS2
O00410	IPO5
Q96P70	IPO9
Q6DN90	IQSEC1
Q6UXK2	ISLR2
Q9NQX7	ITM2C
P23458	JAK1
P14923	JUP
Q9P0J7	KCMF1
Q07666	KHDRBS1
O75525	KHDRBS3
Q92945	KHSRP
Q9UPX6	KIAA1024
Q9HCM3	KIAA1549
Q9ULH0	KIDINS220
O00139-4	KIF2A
O60282	KIF5C
Q9H0B6	KLC2
Q9Y4X4	KLF12
P52292	KPNA2
Q14974	KPNB1
Q5T749	KPRP
P01116	KRAS
P04264	KRT1
P13645	KRT10
P02533	KRT14
P08779	KRT16
Q04695	KRT17
P05783	KRT18
P08727	KRT19
P35908	KRT2
P35900	KRT20
Q8N1A0	KRT222
P13647	KRT5
P02538	KRT6A
Q8N1N4	KRT78
P05787-2	KRT8
P35527	KRT9
Q6VAB6	KSR2
Q86UP2	KTN1
P32004	L1CAM
Q6PKG0	LARP1
Q14847-2	LASP1
P00338-3	LDHA
P07195	LDHB
Q9H9Z2	LIN28A
O14910	LIN7A
Q15334	LLGL1
Q9BRT6	LLPH
P20700	LMNB1
J9JID7	LMNB2
P36776	LONP1
Q6T4P5-3	PLPPR3
Q8N1G4	LRRC47
Q96AG4	LRRC59
Q9BX40-2	LSM14B
Q9NQ29	LUC7L
Q9Y383	LUC7L2
J3KPP4	LUC7L3
Q9NX58	LYAR
H3BQK9	MACF1
Q9HCI5	MAGEE1
Q9H213	MAGEH1
P46821	MAP1B
Q9H492-2	MAP1LC3A
Q9GZQ8	MAP1LC3B
P11137	MAP2
P36507	MAP2K2
P27816	MAP4
G5E948	MAP4K4
Q96JE9	MAP6
Q14244-7	MAP7
Q3KQU3	MAP7D1
Q49MG5	MAP9
Q15691	MAPRE1
Q15555	MAPRE2
P10636-5	MAPT
P49006	MARCKSL1
Q9P0L2	MARK1
Q7KZI7	MARK2
P27448-7	MARK3
O00339	MATN2
P43243	MATR3
P56270	MAZ
Q86YR7	MCF2L2
P40926	MDH2
P21741	MDK
P51608-2	MECP2
Q06413	MEF2C
Q9GZY8	MFF
O60502	MGEA5
Q5VV89	MGST3
Q86YT6	MIB1
Q9BPX6-3	MICU1
Q96T76	MMS19
Q9BU76	C1orf35
P29372	MPG
Q6P1L8	MRPL14
Q9P015	MRPL15
Q9NX20	MRPL16
J3KQY1	MRPL22
O75394	MRPL33
M0R226	MRPL34
O15235	MRPS12
P82914	MRPS15
O43347	MSI1
Q96DH6	MSI2
P00403	MT-CO2
Q9Y6C9	MTCH2
Q9H019	MTFR1L
P58546	MTPN
O75431	MTX2
Q14764	MVP
Q9P2K5	MYEF2
P35580-2	MYH10
P35579	MYH9
P19105	MYL12A
P60660-2	MYL6
Q92614	MYO18A
O43795	MYO1B
F8W6H6	MYO5A
E9PAV3	NACA
P55209	NAP1L1
O43776	NARS
P49321-3	NASP
Q9H0A0	NAT10
Q8NEY1	NAV1
P13591-1	NCAM1
P19338	NCL
O75251	NDUFS7
Q7Z6G3	NECAB2
P12036	NEFH
P07196	NEFL
P07197	NEFM
P48681	NES
Q9BYG3	NIFK
Q9BPW8	NIPSNAP1
Q8N5F7	NKAP
P30414	NKTR
Q32Q12	NME1-NME2
P30419	NMT1
Q13423	NNT
Q9UGY1	NOL12
Q15233	NONO
Q9Y3C1	NOP16
O00567	NOP56
Q9Y2X3	NOP58
Q9UNW9	NOVA2
P06748	NPM1
O14786	NRP1
Q15738	NSDHL
P46459	NSF
Q9Y328	NSG2
Q96CB9	NSUN4
Q96P11-4	NSUN5
Q16620-4	NTRK2
Q9H1E3	NUCKS1
O43809	NUDT21
Q14980	NUMA1
P49757	NUMB
Q9Y6R0	NUMBL
P04181	OAT
Q5BJF6	ODF2
J3KQ32	OLA1
O60422	ONECUT3
E5KLJ5	OPA1
Q9BZF3-5	OSBPL6
Q9BZF1	OSBPL8
P07237	P4HB
Q9UQ80	PA2G4
P11940	PABPC1
Q13310-3	PABPC4
Q15102	PAFAH1B3
P22234	PAICS
O75914-3	PAK3
Q9P286	PAK5
O75781	PALM
O43252	PAPSS1
Q99497	PARK7
P09874	PARP1
Q15365	PCBP1
Q15366-3	PCBP2
Q9UN74	PCDHA4
Q9UN73	PCDHA6
Q9Y5E8	PCDHB15
Q9Y5E7	PCDHB2
Q9UN71	PCDHGB4
Q9Y5G0	PCDHGB5
Q9Y5F9	PCDHGB6
Q9Y6V0-5	PCLO
Q15154	PCM1
H7BY58	PCMT1
P12004	PCNA
O95613	PCNT
Q8WUM4-2	PDCD6IP
Q07343-3	PDE4B
Q5VU43-4	PDE4DIP
P11177	PDHB
P30101	PDIA3
Q15084-2	PDIA6
P30086	PEBP1
Q8IZL8	PELP1
Q99471	PFDN5
P08237-3	PFKM
P07737	PFN1
P35080	PFN2
P18669	PGAM1
Q96HS1	PGAM5
P52209	PGD
P00558	PGK1
Q6PCE3	PGM2L1
O00264	PGRMC1
P35232	PHB
Q99623	PHB2
Q8IWS0	PHF6
O43175	PHGDH
Q9NRD5	PICK1
P48426	PIP4K2A
P14618	PKM
Q15147-4	PLCB4
Q8N3E9	PLCD3
Q0VAA5	PLCXD2
Q8IV08	PLD3
Q15149	PLEC
Q9HAU0-6	PLEKHA5
Q53GL0	PLEKHO1
Q9UIW2	PLXNA1
Q9HCM2	PLXNA4
Q9BY77	POLDIP3
O75334	PPFIA2
P62937	PPIA
Q13427	PPIG
O43314	PPIP5K2
P62136-2	PPP1CA
P62140	PPP1CB
P36873-2	PPP1CC
P67775	PPP2CA
P30153	PPP2R1A
Q06830	PRDX1
P32119	PRDX2
P30048	PRDX3
P30044	PRDX5
Q7Z3G6	PRICKLE2
P17612	PRKACA
P22694-2	PRKACB
P13861	PRKAR2A
P31323	PRKAR2B
Q02156	PRKCE
P41743	PRKCI
P78527	PRKDC
O75569	PRKRA
H7C2I1	PRMT1
Q9UMS4	PRPF19
O75400-3	PRPF40A
Q13523	PRPF4B
Q6P2Q9	PRPF8
P41219	PRPH
P41219-2	PRPH
O95084	PRSS23
O75475	PSIP1
P62191	PSMC1
P35998	PSMC2
P17980	PSMC3
P43686	PSMC4
P62195	PSMC5
P62333	PSMC6
O00232	PSMD12
O00487	PSMD14
Q13200	PSMD2
O43242	PSMD3
Q8WXF1	PSPC1
Q9UKA9-3	PTBP2
Q15185	PTGES3
P21246	PTN
P18031	PTPN1
Q12923-4	PTPN13
P10586	PTPRF
Q13332-3	PTPRS
J3KQ48	PTRH2
Q9UHX1-2	PUF60
Q92626	PXDN
P11216	PYGB
P61026	RAB10
Q15907	RAB11B
P61106	RAB14
Q9NP72	RAB18
P62820	RAB1A
Q9H0U4	RAB1B
Q9UL25	RAB21
P61019	RAB2A
Q8WUD1	RAB2B
Q15286	RAB35
P20336	RAB3A
P20339	RAB5A
P61020	RAB5B
P51148-2	RAB5C
P20340	RAB6A
Q9NRW1	RAB6B
P51149	RAB7A
Q3YEC7-2	RABL6
P63000-2	RAC1
P11233	RALA
Q9UKM9	RALY
B5MDF5	RAN
F5H7Y6	RAP1B
P52306-5	RAP1GDS1
P54136	RARS
Q09028	RBBP4
Q7Z6E9	RBBP6
Q8N0V3	RBFA
Q96PK6	RBM14
Q96PK6-5	RBM14
Q86U06	RBM23
P49756	RBM25
Q9P2N5	RBM27
Q9NW13	RBM28
Q14498-2	RBM39
P38159	RBMX
P09455	RBP1
Q15293	RCN1
Q14257-2	RCN2
P35241-5	RDX
P61586	RHOA
P62745	RHOB
Q5JR05	RHOC
Q9BRS2	RIOK1
Q15287	RNPS1
Q9Y6N7-2	ROBO1
Q9HCK4-3	ROBO2
Q8TA86	RP9
P27635	RPL10
P62906	RPL10A
P62913	RPL11
P30050	RPL12
P26373	RPL13
P40429	RPL13A
P50914	RPL14
P61313	RPL15
P18621-3	RPL17
Q07020	RPL18
Q02543	RPL18A
P84098	RPL19
P46778	RPL21
P35268	RPL22
P62829	RPL23
P62750	RPL23A
P83731	RPL24
P61254	RPL26
P61353	RPL27
P46776	RPL27A
P46779	RPL28
P47914	RPL29
P39023	RPL3
P62888	RPL30
P62899	RPL31
F8W727	RPL32
P49207	RPL34
P42766	RPL35
P18077	RPL35A
Q9Y3U8	RPL36
J3KQN4	RPL36AL
Q969Q0	RPL36AL
P61513	RPL37A
P63173	RPL38
P62891	RPL39
P36578	RPL4
P46777	RPL5
Q02878	RPL6
P18124	RPL7
P62424	RPL7A
P62917	RPL8
P32969	RPL9
P05388	RPLP0
P05386	RPLP1
P05387	RPLP2
P04843	RPN1
P04844	RPN2
P46783	RPS10
P62280	RPS11
P25398	RPS12
P62277	RPS13
P62263	RPS14
K7ELC2	RPS15
P62244	RPS15A
P62249	RPS16
P0CW22	RPS17
P62269	RPS18
P39019	RPS19
P15880	RPS2
P60866-2	RPS20
P62266	RPS23
P62847-4	RPS24
P62851	RPS25
P62854	RPS26
P42677	RPS27
P62979	RPS27A
P62857	RPS28
P62273	RPS29
P23396	RPS3
P61247	RPS3A
P62701	RPS4X
P22090	RPS4Y1
P46782	RPS5
P62753	RPS6
P62081	RPS7
P62241	RPS8
P46781	RPS9
P08865	RPSA
Q5JTH9	RRP12
Q15050	RRS1
Q5VWQ0	RSBN1
Q6PCB5	RSBN1L
Q6UXX9	RSPO2
Q9Y3I0	RTCB
Q9NQC3	RTN4
Q7L099-3	RUFY3
Q9Y265	RUVBL1
Q9Y230	RUVBL2
P31949	S100A11
Q9Y3Z3	SAMHD1
O43290	SART1
Q6UWP8	SBSN
Q9H7N4	SCAF1
O95104	SCAF4
Q8NBX0	SCCPDH
Q15858	SCN9A
Q12765-2	SCRN1
Q8IWY4	SCUBE1
Q8IX30-2	SCUBE3
O00560	SDCBP
P55735	SEC13
J3KNL6	SEC16A
O15027-5	SEC16A
Q8IZQ5	SELENOH
P50454	SERPINH1
O75533	SF3B1
P23246	SFPQ
Q8N474	SFRP1
Q12872-2	SFSWAP
Q9H9B4	SFXN1
Q9BWM7	SFXN3
O95470	SGPL1
Q9H299	SH3BGRL3
Q9P2F8	SIPA1L2
P53007	SLC25A1
Q02978	SLC25A11
O75746	SLC25A12
Q9UJS0-2	SLC25A13
Q9H936	SLC25A22
Q00325-2	SLC25A3
P12235	SLC25A4
P05141	SLC25A5
P12236	SLC25A6
Q8TDB8-5	SLC2A14
Q2Y0W8	SLC4A8
O94813	SLIT2
Q9H2G2	SLK
P51532	SMARCA4
O60264	SMARCA5
O75940	SMNDC1
P60880-2	SNAP25
O60641	SNAP91
O76070	SNCG
O75643	SNRNP200
P62316	SNRPD2
P62318	SNRPD3
P62304	SNRPE
Q5TF21	SOGA3
P18583-9	SON
Q9BX66	SORBS1
O94875-11	SORBS2
Q08629	SPOCK1
Q9BQ16	SPOCK3
Q9HCB6	SPON1
Q13813-2	SPTAN1
Q01082	SPTBN1
O15020	SPTBN2
Q9H254	SPTBN4
Q9C0H9-5	SRCIN1
Q8WXA9-2	SREK1
P37108	SRP14
P49458	SRP9
Q8IYB3	SRRM1
Q9UQ35	SRRM2
Q07955-2	SRSF1
Q05519	SRSF11
Q01130	SRSF2
P84103	SRSF3
Q13243	SRSF5
Q13247	SRSF6
Q16629	SRSF7
Q13242	SRSF9
P05455	SSB
Q04837	SSBP1
Q08945	SSRP1
P50502	ST13
P31948	STIP1
P16949-2	STMN1
Q9UJZ1	STOML2
Q9Y3F4	STRAP
P61764-2	STXBP1
P53999	SUB1
Q9P2R7	SUCLA2
M0R2Z9	SUGP2
Q8IWU5	SULF2
Q9UH99-2	SUN2
Q9Y5B9	SUPT16H
O60506	SYNCRIP
O15061	SYNM
P21579	SYT1
Q9BT88	SYT11
Q9H2B2	SYT4
O00445	SYT5
Q6P1X5	TAF2
Q5VWG9	TAF3
J3KR72	TAF6
Q7Z7C8-4	TAF8
P37802-2	TAGLN2
