NAT2:  NAT2 NAA16 SLC38A1
NAT1:  NAT1 SLC38A3 SLC38A6 SLC6A2
CLP1:  CLP1 COLEC12 HEXIM1
CPO:  CPO CPOX
TR2:  NR2C1 TAS1R2
KNS2:  KIF2A KLC1
TRX:  TXN VAC14
DEC1:  BHLHE40 DEC1
GNG8:  GNG8 GNGT2
HERP:  HERPUD1 HEY2
ZNF474:  ZNF106 ZNF474
HSFY:  HSFY1 HSFY2
SPRN:  SPATC1 SPRN
GRF1:  RASGRF1 ARHGAP35
KRTAP18-1:  KRTAP10-1 KRTAP10-10
BDP1:  BDP1 PTPN18
MMAA:  SLC7A5P2 MMAA
ADAR2:  NUP98 ADARB1
DMT1:  DMRT1 SLC11A2
ACSM2:  ACSM2A ACSM2B
SAP1:  ELK4 PTPRH PSAP SCLT1
FZD3:  FZD3 FZD9
PTC:  RET TAS2R38
PTB:  PTBP1 PTBP2
DIA1:  C3orf58 CYB5R3
TYRO4:  EPHA3 EPHA5
AUTL1:  ATG4B ATG4C
PC3:  BTG2 CBX8
AK3:  AK3 AK4
AK6:  AK3 AK6
SUR2:  ABCC9 MED23
SLX1:  SLX1A SLX1B
OATP1:  SLCO1A2 SLCO4A1
RGR:  RGL4 RGR
USP21:  USP21 USP25
COT:  MAP3K8 CROT
OPT:  OPTC SUCO
CO4:  C4A C4B
MIC10:  CD46 MINOS1
PARC:  CCL18 CUL9
EPO:  EPO EPX
EP2:  SPAG11A SPAG11B
PAR4:  F2RL3 PAWR
PAR3:  F2RL2 PARD3
PAR1:  F2R SLC52A2
GABPB2:  GABPB1 GABPB2
LST2:  ZFYVE28 SLCO1B3
LST1:  LST1 SLCO1B1
TSC:  SLC12A3 TSC1
MST1:  MST1 STK4
DLG2:  DLG2 MPP2
SFN:  SFN REXO2
MT1M:  MT1G MT1M
MT1K:  MT1G MT1M
USP31:  USP31 USP48
USP34:  USP34 USP35
KRTAP5.11:  KRTAP5-11 KRTAP5-5
NBS1:  NLRP2 NBN
MLCK:  MYLK3 MYLK
KCNJ14:  KCNJ14 KCNJ15
HPR1:  HPSE THOC1
MLC2:  MYL2 MYL9
MLC1:  MLC1 MYL4
NOS2:  NANOS2 NOS2
NOS3:  NANOS3 NOS3
DBP5:  DDX19B SON
KRTAP5.9:  KRTAP5-3 KRTAP5-9
KRTAP5.8:  KRTAP5-2 KRTAP5-8
KRTAP5.3:  KRTAP5-3 KRTAP5-7
ASP:  A1CF ASPA ASIP ATG5 ROPN1L
ALDH4:  ALDH4A1 ALDH9A1
ALDH7:  ALDH3B1 ALDH9A1
C18orf2:  CHMP1B LINC00470
HCCA2:  MOB2 YY1AP1
FAN1:  FAN1 FSCN1
GALNT15:  GALNT15 GALNTL5
HARS2:  DTD1 HARS2
BRI3:  BRI3 ITM2C
LAT2:  SLC7A8 LAT2
MADH6:  SMAD6 SMAD9
C15orf1:  ANP32A BTBD1
CFP1:  CCNY CXXC1
KIP2:  CDKN1C CIB2
CG1:  KTN1 MAMLD1 NUPL2
LIG3:  LIG3 LRIG3
YRRM2:  RBMY1A1 RBMY1F
MTR1:  CMTR1 TRPM5
TKT:  DDR2 TKT
